,Conv,GaphEnhance,Truth,Prediction
0,1,"['brass', 'grissom']","['brass', 'grissom']","['brass', 'grissom']"
1,2,['brass'],['brass'],['brass']
2,5,"['grissom', 'nick', 'warrick']","['grissom', 'nick', 'warrick']","['grissom', 'nick', 'warrick']"
3,8,"['catherine', 'grissom']","['catherine', 'grissom']","['catherine', 'grissom']"
4,11,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
5,12,"['det_evans', 'sara']","['det_evans', 'sara']","['det_evans', 'sara']"
6,13,"['det_evans', 'sara']","['det_evans', 'sara']","['bum', 'sara']"
7,14,"['catherine', 'grissom', 'paigeharmon', 'royceharmon']","['catherine', 'grissom', 'paigeharmon', 'royceharmon']","['catherine', 'grissom', 'paigeharmon', 'royceharmon']"
8,15,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
9,16,"['gregsanders', 'sara']","['gregsanders', 'sara']","['gregsanders', 'sara']"
10,17,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
11,18,"['catherine', 'disco_placid', 'grissom', 'royceharmon']","['catherine', 'disco_placid', 'grissom', 'royceharmon']","['catherine', 'disco_placid', 'grissom', 'royceharmon']"
12,19,"['brass', 'mandy', 'warrick']","['mandy', 'nick', 'warrick']","['brass', 'mandy', 'warrick']"
13,20,"['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']"
14,21,"['catherine', 'grissom', 'mandy']","['catherine', 'grissom', 'mandy']","['catherine', 'grissom', 'mandy']"
15,22,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
16,23,['walterbanglor'],['walterbanglor'],['walterbanglor']
17,24,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
18,25,"['grissom', 'paulmillander']","['grissom', 'paulmillander']","['grissom', 'paulmillander']"
19,26,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
20,27,"['brass', 'nick', 'warrick']","['brass', 'nick', 'warrick']","['brass', 'nick', 'warrick']"
21,28,"['brass', 'grissom']","['brass', 'grissom']","['brass', 'grissom']"
22,29,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
23,30,"['gregsanders', 'nick', 'warrick']","['gregsanders', 'nick', 'warrick']","['bum', 'gregsanders', 'warrick']"
24,31,"['nick', 'warrick']","['nick', 'warrick']","['nick', 'warrick']"
25,32,"['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']"
26,33,"['brass', 'bum', 'grissom']","['brass', 'bum', 'grissom']","['brass', 'bum', 'grissom']"
27,34,"['nick', 'walterbanglor', 'warrick']","['nick', 'walterbanglor', 'warrick']","['nick', 'walterbanglor', 'warrick']"
28,35,"['royceharmon', 'walterbanglor']","['walterbanglor', 'warrick']","['royceharmon', 'walterbanglor']"
29,36,"['nick', 'walterbanglor', 'warrick']","['nick', 'walterbanglor', 'warrick']","['nick', 'walterbanglor', 'warrick']"
30,37,"['brass', 'bum', 'grissom']","['brass', 'bum', 'grissom']","['brass', 'bum', 'grissom']"
31,38,"['grissom', 'paulmillander']","['grissom', 'paulmillander']","['grissom', 'paulmillander']"
32,39,"['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']"
33,40,"['catherine', 'grissom', 'sara']","['catherine', 'grissom', 'sara']","['catherine', 'royceharmon', 'sara']"
34,41,"['grissom', 'paigeharmon']","['catherine', 'grissom']","['grissom', 'paigeharmon']"
35,42,['bum'],['paulmillander'],['bum']
